NNUM,Student_ID,Grade_percent,DDate
0,62349,0.0,2022-09-20
1,2708713,0.0,2022-09-20
2,144,0.0,2022-09-20
3,64123,0.0,2022-09-20
4,30996,0.0,2022-09-20
5,3051215,0.0,2022-09-20
6,3051213,0.0,2022-09-20
7,3051212,0.0,2022-09-20
8,3051210,0.0,2022-09-20
9,3051208,0.0,2022-09-20
10,3051202,0.0,2022-09-20
11,3051200,0.0,2022-09-20
12,3051198,0.0,2022-09-20
13,3051196,0.0,2022-09-20
14,3022899,0.0,2022-09-20
15,3051194,0.0,2022-09-20
16,3051192,0.0,2022-09-20
17,3023117,0.0,2022-09-20
18,3051190,0.0,2022-09-20
19,3051188,0.0,2022-09-20
20,3051186,0.0,2022-09-20
21,3051182,6.0,2022-09-20
22,3051180,0.0,2022-09-20
23,3051174,0.0,2022-09-20
24,3051172,0.0,2022-09-20
25,3124672,0.0,2022-09-20
26,3051170,0.0,2022-09-20
27,2458428,0.0,2022-09-20
28,3051168,0.0,2022-09-20
29,2869631,0.0,2022-09-20
30,3051166,0.0,2022-09-20
31,3051164,0.0,2022-09-20
32,3051162,0.0,2022-09-20
33,3051160,0.0,2022-09-20
34,3023116,0.0,2022-09-20
35,3051158,0.0,2022-09-20
36,3051156,0.0,2022-09-20
37,3051154,0.0,2022-09-20
38,3339200,0.0,2022-09-20
39,3051153,0.0,2022-09-20
40,3051151,0.0,2022-09-20
41,3051149,11.0,2022-09-20
42,3023115,0.0,2022-09-20
43,3051147,0.0,2022-09-20
44,3051145,0.0,2022-09-20
45,3051143,0.0,2022-09-20
46,2850106,0.0,2022-09-20
47,3051141,0.0,2022-09-20
48,3051139,0.0,2022-09-20
49,3051137,0.0,2022-09-20
50,3051135,0.0,2022-09-20
51,429793,0.0,2022-09-20
52,348850,0.0,2022-09-20
53,3023113,0.0,2022-09-20
54,3051130,0.0,2022-09-20
55,3051127,0.0,2022-09-20
56,3051125,0.0,2022-09-20
57,3051123,0.0,2022-09-20
58,3051121,0.0,2022-09-20
59,3051119,0.0,2022-09-20
60,3051117,2.0,2022-09-20
61,3051113,0.0,2022-09-20
62,3086419,0.0,2022-09-20
63,3051109,0.0,2022-09-20
64,1368618,0.0,2022-09-20
65,3051105,0.0,2022-09-20
66,3051103,0.0,2022-09-20
67,3051101,0.0,2022-09-20
68,2701173,0.0,2022-09-20
69,3051099,0.0,2022-09-20
70,3051097,0.0,2022-09-20
71,3051093,0.0,2022-09-20
72,3051091,0.0,2022-09-20
73,3051088,0.0,2022-09-20
74,3051086,0.0,2022-09-20
75,3051078,0.0,2022-09-20
76,3051075,0.0,2022-09-20
77,3197141,0.0,2022-09-20
78,3023111,0.0,2022-09-20
79,3051072,0.0,2022-09-20
80,3051069,0.0,2022-09-20
